case_id,outcome
request for payment 185731,Rejected
request for payment 42350,Payment Handled
request for payment 44732,Payment Handled
request for payment 41143,Rejected
request for payment 36990,Payment Handled
request for payment 44197,Payment Handled
request for payment 44200,Payment Handled
request for payment 37004,Payment Handled
request for payment 37002,Payment Handled
request for payment 67291,Payment Handled
request for payment 67288,Payment Handled
request for payment 31038,Payment Handled
request for payment 31035,Payment Handled
request for payment 44946,Payment Handled
request for payment 185526,Payment Handled
request for payment 185532,Payment Handled
request for payment 31066,Payment Handled
request for payment 31068,Payment Handled
request for payment 31070,Payment Handled
request for payment 41610,Payment Handled
request for payment 53485,Payment Handled
request for payment 53483,Payment Handled
request for payment 44964,Payment Handled
request for payment 31094,Payment Handled
request for payment 31097,Payment Handled
request for payment 22900,Payment Handled
request for payment 45466,Payment Handled
request for payment 45464,Payment Handled
request for payment 48888,Payment Handled
request for payment 54104,Payment Handled
request for payment 45494,Payment Handled
request for payment 45517,Payment Handled
request for payment 45519,Payment Handled
request for payment 28393,Payment Handled
request for payment 21504,Payment Handled
request for payment 33174,Payment Handled
request for payment 45032,Payment Handled
request for payment 45034,Rejected
request for payment 13773,Payment Handled
request for payment 13777,Payment Handled
request for payment 40726,Payment Handled
request for payment 40728,Payment Handled
request for payment 48922,Payment Handled
request for payment 15263,Payment Handled
request for payment 48951,Payment Handled
request for payment 48948,Payment Handled
request for payment 22913,Payment Handled
request for payment 22915,Payment Handled
request for payment 22917,Payment Handled
request for payment 43304,Payment Handled
request for payment 54133,Payment Handled
request for payment 45678,Payment Handled
request for payment 45674,Payment Handled
request for payment 45676,Payment Handled
request for payment 13795,Payment Handled
request for payment 48995,Payment Handled
request for payment 15285,Payment Handled
request for payment 31140,Payment Handled
request for payment 33201,Payment Handled
request for payment 42536,Payment Handled
request for payment 42534,Payment Handled
request for payment 42542,Payment Handled
request for payment 42540,Payment Handled
request for payment 42538,Payment Handled
request for payment 33226,Payment Handled
request for payment 25410,Payment Handled
request for payment 25407,Payment Handled
request for payment 68174,Payment Handled
request for payment 43323,Payment Handled
request for payment 37049,Payment Handled
request for payment 45983,Payment Handled
request for payment 42904,Payment Handled
request for payment 46482,Payment Handled
request for payment 28420,Payment Handled
request for payment 46497,Payment Handled
request for payment 46022,Payment Handled
request for payment 46077,Payment Handled
request for payment 42974,Payment Handled
request for payment 41211,Payment Handled
request for payment 43014,Payment Handled
request for payment 185855,Payment Handled
request for payment 186032,Payment Handled
request for payment 53761,Payment Handled
request for payment 53763,Payment Handled
request for payment 68205,Payment Handled
request for payment 46565,Payment Handled
request for payment 13881,Payment Handled
request for payment 186037,Payment Handled
request for payment 185912,Payment Handled
request for payment 43075,Payment Handled
request for payment 43073,Payment Handled
request for payment 43071,Payment Handled
request for payment 13897,Payment Handled
request for payment 186010,Payment Handled
request for payment 41665,Payment Handled
request for payment 43111,Payment Handled
request for payment 43109,Payment Handled
request for payment 46194,Payment Handled
request for payment 15319,Payment Handled
request for payment 185983,Payment Handled
request for payment 41262,Payment Handled
request for payment 41264,Payment Handled
request for payment 46772,Payment Handled
request for payment 46774,Payment Handled
request for payment 49635,Payment Handled
request for payment 49633,Payment Handled
request for payment 46613,Payment Handled
request for payment 43402,Payment Handled
request for payment 54683,Payment Handled
request for payment 31631,Payment Handled
request for payment 40814,Payment Handled
request for payment 40816,Payment Handled
request for payment 54699,Payment Handled
request for payment 54702,Payment Handled
request for payment 68233,Payment Handled
request for payment 46802,Payment Handled
request for payment 43417,Payment Handled
request for payment 43419,Payment Handled
request for payment 46821,Payment Handled
request for payment 46654,Payment Handled
request for payment 43445,Payment Handled
request for payment 53834,Payment Handled
request for payment 53832,Payment Handled
request for payment 46845,Payment Handled
request for payment 46843,Payment Handled
request for payment 49672,Payment Handled
request for payment 49674,Payment Handled
request for payment 49670,Payment Handled
request for payment 41336,Payment Handled
request for payment 41339,Payment Handled
request for payment 54739,Rejected
request for payment 54737,Payment Handled
request for payment 54740,Payment Handled
request for payment 46887,Payment Handled
request for payment 46884,Payment Handled
request for payment 24635,Payment Handled
request for payment 24632,Payment Handled
request for payment 32100,Payment Handled
request for payment 185918,Other
request for payment 43473,Payment Handled
request for payment 46946,Payment Handled
request for payment 46948,Payment Handled
request for payment 33299,Payment Handled
request for payment 37104,Payment Handled
request for payment 46989,Payment Handled
request for payment 46987,Payment Handled
request for payment 21589,Rejected
request for payment 21590,Payment Handled
request for payment 21587,Rejected
request for payment 43493,Payment Handled
request for payment 47026,Rejected
request for payment 33321,Payment Handled
request for payment 33324,Payment Handled
request for payment 33330,Payment Handled
request for payment 33326,Payment Handled
request for payment 33328,Payment Handled
request for payment 47320,Other
request for payment 47325,Payment Handled
request for payment 47321,Payment Handled
request for payment 47327,Payment Handled
request for payment 47323,Payment Handled
request for payment 33378,Payment Handled
request for payment 68273,Payment Handled
request for payment 68275,Payment Handled
request for payment 49713,Payment Handled
request for payment 49737,Payment Handled
request for payment 68294,Payment Handled
request for payment 53876,Payment Handled
request for payment 32130,Payment Handled
request for payment 32128,Payment Handled
request for payment 13918,Payment Handled
request for payment 21611,Payment Handled
request for payment 15749,Payment Handled
request for payment 15747,Payment Handled
request for payment 15751,Payment Handled
request for payment 185926,Rejected
request for payment 186043,Payment Handled
request for payment 54806,Payment Handled
request for payment 54808,Payment Handled
request for payment 13936,Payment Handled
request for payment 13954,Other
request for payment 13956,Other
request for payment 24822,Payment Handled
request for payment 24820,Payment Handled
request for payment 24840,Payment Handled
request for payment 32184,Other
request for payment 32179,Payment Handled
request for payment 32182,Payment Handled
request for payment 32181,Rejected
request for payment 32215,Payment Handled
request for payment 49817,Payment Handled
request for payment 49815,Payment Handled
request for payment 186099,Payment Handled
request for payment 45765,Payment Handled
request for payment 49851,Payment Handled
request for payment 49849,Payment Handled
request for payment 186105,Other
request for payment 36194,Payment Handled
request for payment 47449,Payment Handled
request for payment 186049,Payment Handled
request for payment 45790,Payment Handled
request for payment 45805,Payment Handled
request for payment 45820,Rejected
request for payment 26103,Other
request for payment 38512,Payment Handled
request for payment 47482,Payment Handled
request for payment 26135,Payment Handled
request for payment 26130,Payment Handled
request for payment 26133,Payment Handled
request for payment 38547,Payment Handled
request for payment 26193,Payment Handled
request for payment 26191,Payment Handled
request for payment 26231,Payment Handled
request for payment 28985,Payment Handled
request for payment 38563,Payment Handled
request for payment 17075,Payment Handled
request for payment 29025,Payment Handled
request for payment 49869,Payment Handled
request for payment 23411,Payment Handled
request for payment 23432,Payment Handled
request for payment 23451,Payment Handled
request for payment 49910,Payment Handled
request for payment 38615,Payment Handled
request for payment 24804,Payment Handled
request for payment 36274,Payment Handled
request for payment 36276,Payment Handled
request for payment 36272,Payment Handled
request for payment 45922,Payment Handled
request for payment 50609,Payment Handled
request for payment 50624,Payment Handled
request for payment 50640,Payment Handled
request for payment 44412,Payment Handled
request for payment 38642,Payment Handled
request for payment 185957,Rejected
request for payment 46688,Payment Handled
request for payment 46706,Payment Handled
request for payment 46729,Payment Handled
request for payment 46727,Payment Handled
request for payment 24894,Payment Handled
request for payment 44488,Payment Handled
request for payment 68514,Payment Handled
request for payment 35648,Payment Handled
request for payment 35646,Rejected
request for payment 186004,Payment Handled
request for payment 14972,Payment Handled
request for payment 14989,Payment Handled
request for payment 186028,Rejected
request for payment 39133,Payment Handled
request for payment 51207,Payment Handled
request for payment 35889,Payment Handled
request for payment 39163,Payment Handled
request for payment 39185,Payment Handled
request for payment 69328,Payment Handled
request for payment 53954,Rejected
request for payment 15018,Payment Handled
request for payment 35728,Payment Handled
request for payment 35957,Payment Handled
request for payment 35942,Payment Handled
request for payment 35768,Payment Handled
request for payment 39243,Payment Handled
request for payment 45223,Payment Handled
request for payment 35977,Payment Handled
request for payment 35992,Payment Handled
request for payment 45259,Payment Handled
request for payment 45257,Payment Handled
request for payment 45279,Payment Handled
request for payment 45277,Payment Handled
request for payment 29368,Payment Handled
request for payment 39306,Payment Handled
request for payment 39343,Payment Handled
request for payment 29395,Payment Handled
request for payment 69468,Payment Handled
request for payment 69503,Payment Handled
request for payment 69521,Payment Handled
request for payment 36021,Payment Handled
request for payment 36024,Payment Handled
request for payment 36026,Payment Handled
request for payment 54477,Payment Handled
request for payment 54497,Payment Handled
request for payment 54495,Payment Handled
request for payment 70213,Payment Handled
request for payment 54524,Rejected
request for payment 54522,Payment Handled
request for payment 54520,Payment Handled
request for payment 36068,Other
request for payment 17248,Payment Handled
request for payment 17267,Payment Handled
request for payment 17264,Payment Handled
request for payment 37455,Payment Handled
request for payment 37474,Payment Handled
request for payment 185874,Payment Handled
request for payment 35853,Payment Handled
request for payment 186054,Rejected
request for payment 38048,Payment Handled
request for payment 25565,Payment Handled
request for payment 25590,Payment Handled
request for payment 25592,Payment Handled
request for payment 186064,Payment Handled
request for payment 32807,Payment Handled
request for payment 36892,Payment Handled
request for payment 36890,Payment Handled
request for payment 36887,Payment Handled
request for payment 32838,Rejected
request for payment 25639,Payment Handled
request for payment 25641,Payment Handled
request for payment 37730,Payment Handled
request for payment 37740,Payment Handled
request for payment 36660,Payment Handled
request for payment 36658,Payment Handled
request for payment 36656,Payment Handled
request for payment 36654,Payment Handled
request for payment 25687,Payment Handled
request for payment 25683,Payment Handled
request for payment 25689,Payment Handled
request for payment 25685,Payment Handled
request for payment 25691,Payment Handled
request for payment 37787,Payment Handled
request for payment 37791,Payment Handled
request for payment 37793,Payment Handled
request for payment 37789,Payment Handled
request for payment 51383,Payment Handled
request for payment 51385,Payment Handled
request for payment 32287,Payment Handled
request for payment 32285,Payment Handled
request for payment 32283,Payment Handled
request for payment 51876,Payment Handled
request for payment 51874,Payment Handled
request for payment 40051,Payment Handled
request for payment 186070,Payment Handled
request for payment 37841,Payment Handled
request for payment 37862,Payment Handled
request for payment 32881,Payment Handled
request for payment 51924,Payment Handled
request for payment 21159,Payment Handled
request for payment 21157,Payment Handled
request for payment 21156,Rejected
request for payment 46427,Payment Handled
request for payment 46424,Payment Handled
request for payment 37938,Payment Handled
request for payment 21187,Payment Handled
request for payment 38115,Payment Handled
request for payment 21250,Payment Handled
request for payment 25779,Payment Handled
request for payment 26280,Payment Handled
request for payment 32900,Payment Handled
request for payment 38161,Payment Handled
request for payment 38157,Payment Handled
request for payment 38159,Payment Handled
request for payment 51979,Payment Handled
request for payment 15505,Payment Handled
request for payment 15508,Payment Handled
request for payment 33440,Payment Handled
request for payment 33470,Payment Handled
request for payment 33467,Payment Handled
request for payment 47053,Payment Handled
request for payment 21707,Payment Handled
request for payment 17325,Payment Handled
request for payment 17322,Payment Handled
request for payment 185943,Other
request for payment 17477,Payment Handled
request for payment 52043,Payment Handled
request for payment 40242,Payment Handled
request for payment 38762,Payment Handled
request for payment 17504,Payment Handled
request for payment 17549,Payment Handled
request for payment 21754,Payment Handled
request for payment 52075,Payment Handled
request for payment 38427,Payment Handled
request for payment 38429,Payment Handled
request for payment 52097,Payment Handled
request for payment 52559,Payment Handled
request for payment 38837,Payment Handled
request for payment 38853,Payment Handled
request for payment 47146,Payment Handled
request for payment 38478,Payment Handled
request for payment 15529,Payment Handled
request for payment 32916,Payment Handled
request for payment 40297,Payment Handled
request for payment 37565,Payment Handled
request for payment 37569,Payment Handled
request for payment 37567,Payment Handled
request for payment 27579,Payment Handled
request for payment 15545,Payment Handled
request for payment 40343,Payment Handled
request for payment 37615,Payment Handled
request for payment 185938,Payment Handled
request for payment 186058,Payment Handled
request for payment 17966,Payment Handled
request for payment 21827,Payment Handled
request for payment 21843,Payment Handled
request for payment 21861,Payment Handled
request for payment 40381,Payment Handled
request for payment 186087,Payment Handled
request for payment 70359,Payment Handled
request for payment 70361,Payment Handled
request for payment 70357,Payment Handled
request for payment 39415,Payment Handled
request for payment 40321,Payment Handled
request for payment 21910,Payment Handled
request for payment 21908,Payment Handled
request for payment 15609,Payment Handled
request for payment 15612,Payment Handled
request for payment 47248,Payment Handled
request for payment 36368,Payment Handled
request for payment 22149,Payment Handled
request for payment 36398,Payment Handled
request for payment 18016,Payment Handled
request for payment 37630,Payment Handled
request for payment 22233,Payment Handled
request for payment 52666,Payment Handled
request for payment 186094,Payment Handled
request for payment 37686,Payment Handled
request for payment 37684,Payment Handled
request for payment 18039,Payment Handled
request for payment 36489,Payment Handled
request for payment 52698,Payment Handled
request for payment 52701,Payment Handled
request for payment 36520,Payment Handled
request for payment 36541,Payment Handled
request for payment 36539,Payment Handled
request for payment 22294,Payment Handled
request for payment 22292,Payment Handled
request for payment 22316,Payment Handled
request for payment 185906,Payment Handled
request for payment 38206,Payment Handled
request for payment 22335,Payment Handled
request for payment 25104,Payment Handled
request for payment 70407,Payment Handled
request for payment 70409,Payment Handled
request for payment 38230,Payment Handled
request for payment 28072,Payment Handled
request for payment 37237,Payment Handled
request for payment 40861,Other
request for payment 54922,Payment Handled
request for payment 54924,Payment Handled
request for payment 54920,Payment Handled
request for payment 15840,Payment Handled
request for payment 37408,Payment Handled
request for payment 37429,Payment Handled
request for payment 38000,Payment Handled
request for payment 18445,Payment Handled
request for payment 18441,Payment Handled
request for payment 18443,Payment Handled
request for payment 28100,Payment Handled
request for payment 28102,Payment Handled
request for payment 28098,Payment Handled
request for payment 39597,Payment Handled
request for payment 39599,Payment Handled
request for payment 40900,Payment Handled
request for payment 18481,Payment Handled
request for payment 18497,Payment Handled
request for payment 28198,Payment Handled
request for payment 28196,Payment Handled
request for payment 39638,Payment Handled
request for payment 22359,Payment Handled
request for payment 40942,Payment Handled
request for payment 38954,Payment Handled
request for payment 55352,Payment Handled
request for payment 40991,Payment Handled
request for payment 38995,Payment Handled
request for payment 186107,Payment Handled
request for payment 39713,Payment Handled
request for payment 28649,Payment Handled
request for payment 28647,Payment Handled
request for payment 28645,Payment Handled
request for payment 28643,Payment Handled
request for payment 41015,Payment Handled
request for payment 28722,Payment Handled
request for payment 71251,Payment Handled
request for payment 71247,Payment Handled
request for payment 71249,Payment Handled
request for payment 28768,Payment Handled
request for payment 28759,Payment Handled
request for payment 28764,Payment Handled
request for payment 28762,Payment Handled
request for payment 28766,Payment Handled
request for payment 28770,Payment Handled
request for payment 10438,Payment Handled
request for payment 71277,Payment Handled
request for payment 71279,Payment Handled
request for payment 64339,Payment Handled
request for payment 64342,Payment Handled
request for payment 54186,Payment Handled
request for payment 54184,Payment Handled
request for payment 186075,Payment Handled
request for payment 71315,Payment Handled
request for payment 20624,Payment Handled
request for payment 64906,Payment Handled
request for payment 53544,Payment Handled
request for payment 71444,Payment Handled
request for payment 71442,Payment Handled
request for payment 71440,Payment Handled
request for payment 71437,Payment Handled
request for payment 61109,Payment Handled
request for payment 19009,Payment Handled
request for payment 185962,Payment Handled
request for payment 185968,Rejected
request for payment 10540,Payment Handled
request for payment 29593,Other
request for payment 185972,Payment Handled
request for payment 10589,Other
request for payment 64389,Payment Handled
request for payment 53615,Payment Handled
request for payment 59580,Payment Handled
request for payment 52876,Payment Handled
request for payment 52874,Payment Handled
request for payment 186081,Payment Handled
request for payment 52894,Payment Handled
request for payment 68992,Payment Handled
request for payment 68991,Rejected
request for payment 29637,Payment Handled
request for payment 64967,Payment Handled
request for payment 59621,Payment Handled
request for payment 59649,Payment Handled
request for payment 61728,Payment Handled
request for payment 61744,Payment Handled
request for payment 60381,Payment Handled
request for payment 61758,Payment Handled
request for payment 185880,Payment Handled
request for payment 65267,Payment Handled
request for payment 61235,Payment Handled
request for payment 29698,Payment Handled
request for payment 69921,Payment Handled
request for payment 69935,Payment Handled
request for payment 60423,Payment Handled
request for payment 11010,Payment Handled
request for payment 52932,Payment Handled
request for payment 11043,Payment Handled
request for payment 53635,Payment Handled
request for payment 11058,Payment Handled
request for payment 11060,Payment Handled
request for payment 69958,Payment Handled
request for payment 65335,Payment Handled
request for payment 11096,Payment Handled
request for payment 25189,Payment Handled
request for payment 185930,Payment Handled
request for payment 65368,Payment Handled
request for payment 64482,Payment Handled
request for payment 64481,Rejected
request for payment 64484,Payment Handled
request for payment 70740,Rejected
request for payment 70741,Rejected
request for payment 65386,Payment Handled
request for payment 65444,Payment Handled
request for payment 65442,Payment Handled
request for payment 52969,Rejected
request for payment 19180,Payment Handled
request for payment 60514,Payment Handled
request for payment 70804,Payment Handled
request for payment 30051,Payment Handled
request for payment 185900,Payment Handled
request for payment 30083,Payment Handled
request for payment 53026,Payment Handled
request for payment 53028,Payment Handled
request for payment 19236,Payment Handled
request for payment 19238,Payment Handled
request for payment 61274,Other
request for payment 60595,Payment Handled
request for payment 185945,Payment Handled
request for payment 53673,Payment Handled
request for payment 53701,Payment Handled
request for payment 53721,Payment Handled
request for payment 30137,Payment Handled
request for payment 19256,Payment Handled
request for payment 30152,Payment Handled
request for payment 20699,Payment Handled
request for payment 54321,Payment Handled
request for payment 54320,Other
request for payment 61419,Payment Handled
request for payment 19563,Payment Handled
request for payment 54342,Payment Handled
request for payment 54340,Payment Handled
request for payment 16093,Payment Handled
request for payment 16096,Payment Handled
request for payment 16128,Payment Handled
request for payment 16126,Payment Handled
request for payment 55461,Payment Handled
request for payment 55463,Payment Handled
request for payment 66168,Payment Handled
request for payment 66171,Payment Handled
request for payment 61298,Payment Handled
request for payment 61317,Payment Handled
request for payment 61337,Payment Handled
request for payment 62523,Payment Handled
request for payment 61499,Payment Handled
request for payment 66245,Payment Handled
request for payment 66282,Other
request for payment 61517,Rejected
request for payment 33948,Payment Handled
request for payment 56039,Payment Handled
request for payment 56037,Payment Handled
request for payment 185951,Payment Handled
request for payment 30288,Payment Handled
request for payment 61536,Payment Handled
request for payment 66324,Payment Handled
request for payment 63297,Payment Handled
request for payment 19643,Payment Handled
request for payment 11490,Payment Handled
request for payment 11487,Payment Handled
request for payment 62556,Payment Handled
request for payment 62559,Payment Handled
request for payment 56144,Payment Handled
request for payment 56139,Payment Handled
request for payment 56142,Payment Handled
request for payment 56146,Payment Handled
request for payment 25809,Payment Handled
request for payment 63337,Payment Handled
request for payment 11576,Payment Handled
request for payment 63372,Payment Handled
request for payment 63387,Payment Handled
request for payment 66391,Payment Handled
request for payment 66407,Payment Handled
request for payment 63403,Payment Handled
request for payment 71780,Payment Handled
request for payment 11616,Payment Handled
request for payment 11614,Payment Handled
request for payment 11655,Payment Handled
request for payment 62572,Payment Handled
request for payment 62576,Payment Handled
request for payment 62574,Payment Handled
request for payment 56236,Payment Handled
request for payment 19730,Payment Handled
request for payment 56255,Payment Handled
request for payment 71806,Payment Handled
request for payment 30316,Payment Handled
request for payment 56907,Payment Handled
request for payment 56905,Payment Handled
request for payment 71899,Payment Handled
request for payment 63465,Payment Handled
request for payment 63480,Payment Handled
request for payment 185845,Rejected
request for payment 66885,Payment Handled
request for payment 66882,Payment Handled
request for payment 71919,Payment Handled
request for payment 66907,Payment Handled
request for payment 66917,Payment Handled
request for payment 34049,Payment Handled
request for payment 71938,Payment Handled
request for payment 34088,Payment Handled
request for payment 34109,Payment Handled
request for payment 25861,Payment Handled
request for payment 25858,Payment Handled
request for payment 56965,Payment Handled
request for payment 185866,Other
request for payment 185978,Payment Handled
request for payment 62156,Payment Handled
request for payment 62154,Payment Handled
request for payment 62152,Payment Handled
request for payment 62149,Payment Handled
request for payment 62158,Payment Handled
request for payment 62186,Payment Handled
request for payment 62188,Payment Handled
request for payment 62217,Payment Handled
request for payment 57011,Payment Handled
request for payment 20097,Payment Handled
request for payment 20094,Payment Handled
request for payment 20117,Payment Handled
request for payment 20146,Payment Handled
request for payment 185868,Payment Handled
request for payment 62674,Payment Handled
request for payment 62671,Payment Handled
request for payment 62286,Payment Handled
request for payment 62281,Payment Handled
request for payment 62284,Payment Handled
request for payment 34519,Payment Handled
request for payment 34517,Payment Handled
request for payment 62711,Payment Handled
request for payment 64563,Payment Handled
request for payment 64566,Payment Handled
request for payment 64568,Payment Handled
request for payment 64570,Payment Handled
request for payment 64572,Payment Handled
request for payment 185989,Payment Handled
request for payment 59131,Payment Handled
request for payment 62318,Payment Handled
request for payment 62339,Payment Handled
request for payment 62337,Payment Handled
request for payment 62363,Payment Handled
request for payment 62385,Payment Handled
request for payment 20178,Payment Handled
request for payment 62403,Payment Handled
request for payment 62963,Payment Handled
request for payment 62978,Payment Handled
request for payment 185886,Rejected
request for payment 185995,Payment Handled
request for payment 64986,Payment Handled
request for payment 64988,Payment Handled
request for payment 12019,Payment Handled
request for payment 67898,Payment Handled
request for payment 57100,Payment Handled
request for payment 20194,Rejected
request for payment 20795,Payment Handled
request for payment 59187,Payment Handled
request for payment 186016,Payment Handled
request for payment 186022,Payment Handled
request for payment 59206,Rejected
request for payment 59215,Payment Handled
request for payment 59225,Payment Handled
request for payment 57891,Rejected
request for payment 63104,Payment Handled
request for payment 63106,Payment Handled
request for payment 20242,Payment Handled
request for payment 20266,Payment Handled
request for payment 20815,Payment Handled
request for payment 20817,Payment Handled
request for payment 67966,Payment Handled
request for payment 67968,Payment Handled
request for payment 12286,Payment Handled
request for payment 63149,Payment Handled
request for payment 59274,Payment Handled
request for payment 59305,Payment Handled
request for payment 59350,Payment Handled
request for payment 185890,Payment Handled
request for payment 63168,Payment Handled
request for payment 68010,Payment Handled
request for payment 20339,Payment Handled
request for payment 20337,Payment Handled
request for payment 20335,Payment Handled
request for payment 20331,Payment Handled
request for payment 20333,Payment Handled
request for payment 185849,Payment Handled
request for payment 12324,Payment Handled
request for payment 12343,Payment Handled
request for payment 57911,Payment Handled
request for payment 59915,Payment Handled
request for payment 63533,Payment Handled
request for payment 63535,Payment Handled
request for payment 63554,Payment Handled
request for payment 59940,Payment Handled
request for payment 59938,Payment Handled
request for payment 59942,Payment Handled
request for payment 65059,Payment Handled
request for payment 65057,Payment Handled
request for payment 63630,Payment Handled
request for payment 63662,Payment Handled
request for payment 63659,Payment Handled
request for payment 63682,Payment Handled
request for payment 63680,Payment Handled
request for payment 57950,Payment Handled
request for payment 65081,Payment Handled
request for payment 58005,Payment Handled
request for payment 58002,Payment Handled
request for payment 185895,Payment Handled
request for payment 65189,Payment Handled
request for payment 20464,Payment Handled
request for payment 60065,Rejected
request for payment 60094,Payment Handled
request for payment 60115,Payment Handled
request for payment 12417,Payment Handled
request for payment 12436,Payment Handled
request for payment 20529,Payment Handled
request for payment 20531,Payment Handled
request for payment 12476,Payment Handled
request for payment 19285,Payment Handled
request for payment 19288,Payment Handled
request for payment 12735,Payment Handled
request for payment 12733,Payment Handled
request for payment 12730,Payment Handled
request for payment 19316,Payment Handled
request for payment 19313,Payment Handled
request for payment 19318,Payment Handled
request for payment 19320,Payment Handled
request for payment 12774,Payment Handled
request for payment 20835,Payment Handled
request for payment 60928,Payment Handled
request for payment 60946,Payment Handled
request for payment 25948,Payment Handled
request for payment 58046,Payment Handled
request for payment 58061,Payment Handled
request for payment 61001,Payment Handled
request for payment 61026,Payment Handled
request for payment 12849,Payment Handled
request for payment 61073,Payment Handled
request for payment 61075,Payment Handled
request for payment 61097,Payment Handled
request for payment 186392,Payment Handled
request for payment 25966,Payment Handled
request for payment 19422,Payment Handled
request for payment 19437,Payment Handled
request for payment 63231,Payment Handled
request for payment 65230,Payment Handled
request for payment 25983,Payment Handled
request for payment 25981,Payment Handled
request for payment 25985,Payment Handled
request for payment 68561,Payment Handled
request for payment 12943,Payment Handled
request for payment 12941,Rejected
request for payment 63873,Payment Handled
request for payment 13003,Payment Handled
request for payment 16169,Payment Handled
request for payment 65805,Payment Handled
request for payment 68546,Payment Handled
request for payment 65891,Payment Handled
request for payment 65918,Payment Handled
request for payment 65933,Payment Handled
request for payment 67392,Payment Handled
request for payment 57052,Payment Handled
request for payment 67423,Payment Handled
request for payment 67425,Payment Handled
request for payment 67421,Payment Handled
request for payment 67419,Payment Handled
request for payment 67476,Payment Handled
request for payment 67474,Payment Handled
request for payment 16904,Payment Handled
request for payment 68660,Payment Handled
request for payment 186376,Payment Handled
request for payment 68756,Payment Handled
request for payment 186382,Rejected
request for payment 186445,Payment Handled
request for payment 69546,Payment Handled
request for payment 69102,Payment Handled
request for payment 16459,Payment Handled
request for payment 16483,Payment Handled
request for payment 69557,Payment Handled
request for payment 16535,Payment Handled
request for payment 69594,Payment Handled
request for payment 16598,Payment Handled
request for payment 69124,Payment Handled
request for payment 69172,Payment Handled
request for payment 69670,Other
request for payment 16660,Payment Handled
request for payment 69229,Payment Handled
request for payment 186386,Payment Handled
request for payment 69247,Payment Handled
request for payment 69268,Payment Handled
request for payment 69270,Payment Handled
request for payment 70078,Payment Handled
request for payment 70076,Payment Handled
request for payment 16721,Payment Handled
request for payment 16748,Payment Handled
request for payment 70135,Payment Handled
request for payment 70147,Payment Handled
request for payment 186407,Payment Handled
request for payment 16855,Payment Handled
request for payment 71027,Payment Handled
request for payment 186216,Rejected
request for payment 58896,Payment Handled
request for payment 71126,Payment Handled
request for payment 71150,Payment Handled
request for payment 71182,Payment Handled
request for payment 71227,Payment Handled
request for payment 10236,Payment Handled
request for payment 10234,Payment Handled
request for payment 10231,Payment Handled
request for payment 35034,Other
request for payment 10305,Payment Handled
request for payment 70592,Other
request for payment 10322,Payment Handled
request for payment 10319,Payment Handled
request for payment 59388,Payment Handled
request for payment 58960,Payment Handled
request for payment 70612,Payment Handled
request for payment 70645,Payment Handled
request for payment 70658,Payment Handled
request for payment 70707,Payment Handled
request for payment 70729,Payment Handled
request for payment 71558,Payment Handled
request for payment 71578,Payment Handled
request for payment 71576,Payment Handled
request for payment 71603,Payment Handled
request for payment 10392,Payment Handled
request for payment 10385,Payment Handled
request for payment 10388,Payment Handled
request for payment 10390,Payment Handled
request for payment 71618,Payment Handled
request for payment 71635,Payment Handled
request for payment 71650,Rejected
request for payment 60171,Payment Handled
request for payment 59068,Payment Handled
request for payment 19976,Payment Handled
request for payment 60218,Payment Handled
request for payment 60249,Payment Handled
request for payment 60348,Payment Handled
request for payment 60346,Payment Handled
request for payment 60344,Payment Handled
request for payment 71737,Payment Handled
request for payment 59793,Payment Handled
request for payment 186226,Payment Handled
request for payment 60688,Payment Handled
request for payment 35146,Payment Handled
request for payment 20584,Payment Handled
request for payment 20960,Payment Handled
request for payment 186231,Payment Handled
request for payment 10847,Payment Handled
request for payment 28814,Payment Handled
request for payment 28809,Payment Handled
request for payment 28812,Payment Handled
request for payment 28816,Payment Handled
request for payment 33074,Payment Handled
request for payment 33089,Payment Handled
request for payment 34816,Payment Handled
request for payment 34819,Payment Handled
request for payment 186252,Other
request for payment 50429,Payment Handled
request for payment 28865,Payment Handled
request for payment 55813,Payment Handled
request for payment 55811,Payment Handled
request for payment 21013,Payment Handled
request for payment 17687,Payment Handled
request for payment 186456,Payment Handled
request for payment 186461,Payment Handled
request for payment 186429,Rejected
request for payment 55071,Payment Handled
request for payment 23116,Payment Handled
request for payment 55854,Payment Handled
request for payment 55856,Payment Handled
request for payment 55858,Payment Handled
request for payment 55879,Payment Handled
request for payment 17748,Payment Handled
request for payment 29544,Payment Handled
request for payment 48096,Other
request for payment 50554,Payment Handled
request for payment 186434,Payment Handled
request for payment 48124,Payment Handled
request for payment 35442,Payment Handled
request for payment 30540,Payment Handled
request for payment 52492,Payment Handled
request for payment 186424,Payment Handled
request for payment 50979,Payment Handled
request for payment 50996,Payment Handled
request for payment 50994,Payment Handled
request for payment 55896,Payment Handled
request for payment 53120,Payment Handled
request for payment 53144,Payment Handled
request for payment 17839,Payment Handled
request for payment 35465,Payment Handled
request for payment 35467,Payment Handled
request for payment 55913,Payment Handled
request for payment 55911,Payment Handled
request for payment 35512,Payment Handled
request for payment 55212,Payment Handled
request for payment 11189,Other
request for payment 55943,Payment Handled
request for payment 51071,Payment Handled
request for payment 52222,Payment Handled
request for payment 51154,Payment Handled
request for payment 186439,Payment Handled
request for payment 55992,Payment Handled
request for payment 55994,Payment Handled
request for payment 52240,Payment Handled
request for payment 52289,Payment Handled
request for payment 52287,Payment Handled
request for payment 186450,Payment Handled
